addressLine1;addressLine2;size;rooms;fee;price;soldDate;lat;lng
Pilgatan 21, 4tr;Kungsholmen, Stockholm;65;2.5;3314;5150000;2018-10-04T22:00:00.000Z;59.3299983;18.0394629
Sankt Göransgatan 127, 2 tr;Kungsholmen Fridhemsplan, Stockholm;65;2;3144;4420000;2018-10-04T22:00:00.000Z;59.3342243;18.0242877
August wahlströms väg 19, 1tr;Mörbybacken, Stockholm;62;2;2452;3475000;2018-10-07T22:00:00.000Z;59.3956628;18.0378263
Grevgatan 53;Östermalm, Stockholm;36;2;569;3925000;2018-10-05T22:00:00.000Z;59.3369745;18.0868792
Kolsnarsvägen 9, 3 tr;Årsta, Stockholm;42.7;2;2423;2730000;2018-10-04T22:00:00.000Z;59.2973816;18.0584494
Kruthornsvägen 54B;Edsberg, Stockholm;45;1;2435;1775000;2018-10-04T22:00:00.000Z;59.4425006;17.9731833
Merkurigatan 17;Märsta - Steninge, Märsta;106.5;4;6413;1950000;2018-10-04T22:00:00.000Z;59.61483500000001;17.8110216
Sandfjärdsgatan 110, 3 tr;Årsta, Stockholm;59.5;3;3350;2720000;2018-10-07T22:00:00.000Z;59.29245719999999;18.0524314
Solvallavägen 48 B, 2 tr;Duvbo, Stockholm;63;2;2953;2100000;2018-10-04T22:00:00.000Z;59.37273880000001;17.9415775
Lövlundsvägen 10; Nynäshamn;95;4;7080;1950000;2018-10-05T22:00:00.000Z;58.9051463;17.9484143
Södergatan 16 B;Märsta - Centralt, Märsta;114.7;4;7912;1500000;2018-10-04T22:00:00.000Z;59.62537959999999;17.8586902
Gamla Enköpingsvägen 174, 4 tr;Sundbyberg , Stora Ursvik, Stockholm;53.5;2;2717;2380000;2018-10-04T22:00:00.000Z;59.3825157;17.9437719
Ekuddsvägen 11;Nacka, Stockholm;83;3;5007;4150000;2018-10-07T22:00:00.000Z;59.3054245;18.1445349
Atlasvägen 19;Sickla, Stockholm;58;2;3186;3100000;2018-10-04T22:00:00.000Z;59.3039694;18.1242151
Pontonjärgatan 8;Kungsholmen/Norr Mälarstrand, Stockholm;41;1;1531;3115000;2018-10-05T22:00:00.000Z;59.328686;18.0368474
Gustav III:s boulevard 107, 2tr;Frösunda, Stockholm;77;3;4415;4150000;2018-10-04T22:00:00.000Z;59.3749313;18.0120803
Bolmensvägen 18;Årsta, Stockholm;47;2;2165;2960000;2018-10-05T22:00:00.000Z;59.2949083;18.062634
Tulegatan 16;Centrala Sundbyberg, Stockholm;49;2;2744;4050000;2018-10-05T22:00:00.000Z;59.3652922;17.9743597
Marknadsvägen 277, 3 tr;Täby Centrum, Täby;94;4;3947;3555000;2018-10-04T22:00:00.000Z;59.44772009999999;18.0821809
Sven Rinmans gata 3, 3 tr;Kungsholmen, Stockholm;96;4;5081;7520000;2018-10-07T22:00:00.000Z;59.3289967;18.0299493
Vidängsvägen 16;Bromma, Stockholm;68;3;3690;3900000;2018-10-04T22:00:00.000Z;59.33542240000001;17.9794435
Jämtlandsgatan 152, 1 tr;Vällingby Centrum, Stockholm;78;3;3223;2850000;2018-10-04T22:00:00.000Z;59.3628922;17.8681272
Bråvallagatan 9A, 4 tr;Vasastan, Stockholm;42.5;2;2250;4400000;2018-10-04T22:00:00.000Z;59.3389623;18.0346178
Frejgatan 15, 3tr;Östermalm / Vasastan, Stockholm;65;2;2107;5750000;2018-10-05T22:00:00.000Z;59.3482007;18.0607367
Förrådsgatan 3, 2 tr;Råsunda, Stockholm;39;2;2463;2625000;2018-10-07T22:00:00.000Z;59.3658631;17.9895953
Ture Nermans Gränd 4, 1.5 tr;Kungsholmen, Stockholm;37.5;2;884;3700000;2018-10-04T22:00:00.000Z;59.3296786;18.0305495
Viksängsvägen 24;Viksäng Strand, Södertälje;49.5;2;3583;1750000;2018-10-04T22:00:00.000Z;59.1851303;17.6500384
Budbärarvägen 65;Hökarängen, Stockholm;120.3;5;5884;5300000;2018-10-07T22:00:00.000Z;59.2556947;18.0708066
Anders Lundströms gata 12;Frösunda, Stockholm;109.4;4;5355;5575000;2018-10-04T22:00:00.000Z;59.37104689999999;18.0151415
Trallbanevägen 4;Gustavsberg Hästhagen, Gustavsberg;63.5;3;4118;2295000;2018-10-05T22:00:00.000Z;59.3191588;18.3969308
Söderberga allé 31;Söderberga Allé, Stockholm;72;3;4609;2750000;2018-10-04T22:00:00.000Z;59.3586592;17.8982616
Esplundagränd 13;Ormkärr, Stockholm;105;4;6368;2800000;2018-10-04T22:00:00.000Z;59.2636918;18.0034151
